url,name,birthday,congress_term,total_bills
https://www.congress.gov/member/troy-balderson/B001306,Representative Troy Balderson,(1962 - ),In Congress 2018 - Present |,361
https://www.congress.gov/member/alvin-baldus/B000083,Representative Alvin J. Baldus,(1926 - 2017),In Congress 1975 - 1981,510
https://www.congress.gov/member/tammy-baldwin/B001230,Senator Tammy Baldwin,(1962 - ),In Congress 1999 - Present |,5761
https://www.congress.gov/member/frank-ballance/B001238,Representative Frank W. Ballance  Jr.,(1942 - 2019),In Congress 2003 - 2004,216
https://www.congress.gov/member/cass-ballenger/B000104,Representative Cass Ballenger,(1926 - 2015),In Congress 1985 - 2005,2345
https://www.congress.gov/member/jim-banks/B001299,Representative Jim Banks,(1979 - ),In Congress 2017 - Present |,664
https://www.congress.gov/member/ron-barber/B001279,Representative Ron Barber,(1945 - ),In Congress 2012 - 2015,313
https://www.congress.gov/member/peter-barca/B001226,Representative Peter Barca,(1955 - ),In Congress 1993 - 1995,201
https://www.congress.gov/member/james-barcia/B000134,Representative James A. Barcia,(1952 - ),In Congress 1993 - 2003,1215
https://www.congress.gov/member/dean-barkley/B001237,Senator Dean M. Barkley,(1950 - ),In Congress 2002 - 2003,3
https://www.congress.gov/member/lou-barletta/B001269,Representative Lou Barletta,(1956 - ),In Congress 2011 - 2019,1134
https://www.congress.gov/member/tom-barlow/B000151,Representative Tom Barlow,(1940 - 2017),In Congress 1993 - 1995,235
https://www.congress.gov/member/doug-barnard/B000153,Representative Doug Barnard Jr.,(1922 - 2019),In Congress 1977 - 1993,2258
https://www.congress.gov/member/michael-barnes/B000160,Representative Michael D. Barnes,(1943 - ),In Congress 1979 - 1987,1963
https://www.congress.gov/member/andy-barr/B001282,Representative Andy Barr,(1973 - ),In Congress 2013 - Present |,1112
https://www.congress.gov/member/bob-barr/B000169,Representative Bob Barr,(1948 - ),In Congress 1995 - 2003,967
https://www.congress.gov/member/nanette-barragan/B001300,Representative Nanette Diaz Barragan,(1976 - ),In Congress 2017 - Present |,1077
https://www.congress.gov/member/john-barrasso/B001261,Senator John  Barrasso ,(1952 - ),In Congress 2007 - Present |,1962
https://www.congress.gov/member/bill-barrett/B000179,Representative Bill Barrett,(1929 - 2016),In Congress 1991 - 2001,887
https://www.congress.gov/member/j-barrett/B001239,Representative J. Gresham Barrett,(1961 - ),In Congress 2003 - 2011,1064
https://www.congress.gov/member/thomas-barrett/B000177,Representative Thomas M. Barrett,(1953 - ),In Congress 1993 - 2003,1734
https://www.congress.gov/member/william-barrett/B000178,Representative William A. Barrett,(1896 - 1976),"In Congress 1945 - 1947, 1949 - 1977",155
https://www.congress.gov/member/john-barrow/B001252,Representative John Barrow,(1955 - ),In Congress 2005 - 2015,1302
https://www.congress.gov/member/dewey-bartlett/B000200,Senator Dewey F. Bartlett,(1919 - 1979),In Congress 1973 - 1979,453
https://www.congress.gov/member/roscoe-bartlett/B000208,Representative Roscoe G. Bartlett,(1926 - ),In Congress 1993 - 2013,3576
https://www.congress.gov/member/steve-bartlett/B000204,Representative Steve Bartlett,(1947 - ),In Congress 1983 - 1993,886
https://www.congress.gov/member/joe-barton/B000213,Representative Joe Barton,(1949 - ),In Congress 1985 - 2019,3031
https://www.congress.gov/member/charles-bass/B000220,Representative Charles F. Bass,(1952 - ),"In Congress 1995 - 2007, 2011 - 2013",990
https://www.congress.gov/member/karen-bass/B001270,Representative Karen Bass,(1953 - ),In Congress 2011 - Present |,2099
https://www.congress.gov/member/herbert-bateman/B000229,Representative Herbert H. Bateman,(1928 - 2000),In Congress 1983 - 2001,2379
https://www.congress.gov/member/jim-bates/B000236,Representative Jim Bates,(1941 - ),In Congress 1983 - 1991,2177
https://www.congress.gov/member/max-baucus/B000243,Senator Max Baucus,(1941 - ),In Congress 1975 - 2014,6771
https://www.congress.gov/member/robert-bauman/B000244,Representative Robert E. Bauman,(1937 - ),In Congress 1973 - 1981,495
https://www.congress.gov/member/birch-bayh/B000254,Senator Birch Bayh,(1928 - 2019),In Congress 1963 - 1981,925
https://www.congress.gov/member/evan-bayh/B001233,Senator Evan Bayh,(1955 - ),In Congress 1999 - 2011,1831
https://www.congress.gov/member/john-beall/B000272,Senator J. Glenn Beall Jr.,(1927 - 2006),"In Congress 1969 - 1971, 1973 - 1977",472
https://www.congress.gov/member/melissa-bean/B001253,Representative Melissa L. Bean,(1962 - ),In Congress 2005 - 2011,604
https://www.congress.gov/member/edward-beard/B000279,Representative Edward Beard,(1940 - ),In Congress 1975 - 1981,886
https://www.congress.gov/member/robin-beard/B000280,Representative Robin Beard,(1939 - 2007),In Congress 1973 - 1983,769
https://www.congress.gov/member/joyce-beatty/B001281,Representative Joyce Beatty,(1950 - ),In Congress 2013 - Present |,2125
https://www.congress.gov/member/bob-beauprez/B001240,Representative Bob Beauprez,(1948 - ),In Congress 2003 - 2007,506
https://www.congress.gov/member/xavier-becerra/B000287,Representative Xavier Becerra,(1958 - ),In Congress 1993 - 2017,2088
https://www.congress.gov/member/berkley-bedell/B000298,Representative Berkley W. Bedell,(1921 - 2019),In Congress 1975 - 1987,3108
https://www.congress.gov/member/mark-begich/B001265,Senator Mark  Begich ,(1962 - ),In Congress 2009 - 2015,1876
https://www.congress.gov/member/anthony-beilenson/B000318,Representative Anthony C. Beilenson,(1932 - 2017),In Congress 1977 - 1997,2660
https://www.congress.gov/member/alphonzo-bell/B000330,Representative Alphonzo Bell,(1914 - 2004),In Congress 1961 - 1977,517
https://www.congress.gov/member/chris-bell/B001241,Representative Chris Bell,(1959 - ),In Congress 2003 - 2005,366
https://www.congress.gov/member/henry-bellmon/B000351,Senator Henry L. Bellmon,(1921 - 2009),In Congress 1969 - 1981,509
https://www.congress.gov/member/cleve-benedict/B000358,Representative Cleve Benedict,(1935 - ),In Congress 1981 - 1983,192
https://www.congress.gov/member/dan-benishek/B001271,Representative Dan Benishek,(1952 - ),In Congress 2011 - 2017,843
https://www.congress.gov/member/jamie-benitez/B000362,Resident Commissioner Jamie Benitez,(1908 - 2001),In Congress 1973 - 1977,168
https://www.congress.gov/member/adam-benjamin/B000363,Representative Adam Benjamin Jr.,(1935 - 1982),In Congress 1977 - 1983,599
https://www.congress.gov/member/michael-bennet/B001267,Senator Michael F. Bennet ,(1964 - ),In Congress 2009 - Present |,2485
https://www.congress.gov/member/charles-bennett/B000371,Representative Charles E. Bennett,(1910 - 2003),In Congress 1949 - 1993,2756
https://www.congress.gov/member/robert-bennett/B000382,Senator Robert F. Bennett,(1933 - 2016),In Congress 1993 - 2011,1669
https://www.congress.gov/member/wallace-bennett/B000384,Senator Wallace F. Bennett,(1898 - 1993),In Congress 1951 - 1975,162
https://www.congress.gov/member/kerry-bentivolio/B001280,Representative Kerry L. Bentivolio,(1951 - ),In Congress 2013 - 2015,328
https://www.congress.gov/member/helen-bentley/B000392,Representative Helen Delich Bentley,(1923 - 2016),In Congress 1985 - 1995,2972
https://www.congress.gov/member/ken-bentsen/B000400,Representative Ken Bentsen,(1959 - ),In Congress 1995 - 2003,982
https://www.congress.gov/member/lloyd-bentsen/B000401,Senator Lloyd M. Bentsen,(1921 - 2006),"In Congress 1947 - 1955, 1971 - 1993",3135
https://www.congress.gov/member/ami-bera/B001287,Representative Ami Bera,(1965 - ),In Congress 2013 - Present |,1105
https://www.congress.gov/member/douglas-bereuter/B000403,Representative Doug Bereuter,(1939 - ),In Congress 1979 - 2004,4001
https://www.congress.gov/member/rick-berg/B001272,Representative Rick Berg,(1959 - ),In Congress 2011 - 2013,165
https://www.congress.gov/member/robert-bergland/B000408,Representative Bob Bergland,(1928 - 2018),In Congress 1971 - 1979,359
https://www.congress.gov/member/jack-bergman/B001301,Representative Jack Bergman,(1947 - ),In Congress 2017 - Present |,375
https://www.congress.gov/member/shelley-berkley/B001231,Representative Shelley Berkley,(1951 - ),In Congress 1999 - 2013,3423
https://www.congress.gov/member/howard-berman/B000410,Representative Howard L. Berman,(1941 - ),In Congress 1983 - 2013,7223
https://www.congress.gov/member/marion-berry/B000420,Representative Marion Berry,(1942 - ),In Congress 1997 - 2011,1534
https://www.congress.gov/member/edwin-bethune/B000422,Representative Ed Bethune,(1935 - ),In Congress 1979 - 1985,419
https://www.congress.gov/member/tom-bevill/B000431,Representative Tom Bevill,(1921 - 2005),In Congress 1967 - 1997,3559
https://www.congress.gov/member/donald-beyer/B001292,"Representative Donald S. Beyer, Jr.",(1950 - ),In Congress 2015 - Present |,1504
https://www.congress.gov/member/mario-biaggi/B000432,Representative Mario Biaggi,(1917 - 2015),In Congress 1969 - 1989,3318
https://www.congress.gov/member/alan-bible/B000436,Senator Alan Bible,(1909 - 1988),In Congress 1953 - 1975,242
https://www.congress.gov/member/joseph-biden/B000444,Senator Joseph R. Biden Jr.,(1942 - ),In Congress 1973 - 2009,4445
https://www.congress.gov/member/edward-biester/B000451,Representative Edward G. Biester Jr.,(1931 - ),In Congress 1967 - 1977,299
https://www.congress.gov/member/judy-biggert/B001232,Representative Judy Biggert,(1937 - ),In Congress 1999 - 2013,1708
https://www.congress.gov/member/andy-biggs/B001302,Representative Andy Biggs,(1958 - ),In Congress 2017 - Present |,609
https://www.congress.gov/member/brian-bilbray/B000461,Representative Brian P. Bilbray,(1951 - ),"In Congress 1995 - 2001, 2005 - 2013",1854
https://www.congress.gov/member/james-bilbray/B000462,Representative James H. Bilbray,(1938 - ),In Congress 1987 - 1995,1658
https://www.congress.gov/member/gus-bilirakis/B001257,Representative Gus M. Bilirakis,(1963 - ),In Congress 2007 - Present |,2131
https://www.congress.gov/member/michael-bilirakis/B000463,Representative Michael Bilirakis,(1930 - ),In Congress 1983 - 2007,3515
https://www.congress.gov/member/jesse-bingaman/B000468,Senator Jeff Bingaman,(1943 - ),In Congress 1983 - 2013,6869
https://www.congress.gov/member/jonathan-bingham/B000472,Representative Jonathan B. Bingham,(1914 - 1986),In Congress 1965 - 1983,1962
https://www.congress.gov/member/mike-bishop/B001293,Representative Mike Bishop,(1967 - ),In Congress 2015 - 2019,636
https://www.congress.gov/member/rob-bishop/B001250,Representative Rob Bishop,(1951 - ),In Congress 2003 - Present |,2208
https://www.congress.gov/member/sanford-bishop/B000490,"Representative Sanford D. Bishop, Jr.",(1947 - ),In Congress 1993 - Present |,5168
https://www.congress.gov/member/timothy-bishop/B001242,Representative Timothy H. Bishop,(1950 - ),In Congress 2003 - 2015,2507
https://www.congress.gov/member/diane-black/B001273,Representative Diane Black,(1951 - ),In Congress 2011 - 2019,1067
https://www.congress.gov/member/ben-blackburn/B000506,Representative Ben Blackburn,(1927 - ),In Congress 1967 - 1975,168
https://www.congress.gov/member/marsha-blackburn/B001243,Senator Marsha Blackburn,(1952 - ),In Congress 2003 - Present |,3478
https://www.congress.gov/member/lucien-blackwell/B000517,Representative Lucien E. Blackwell,(1931 - 2003),In Congress 1991 - 1995,588
https://www.congress.gov/member/rod-blagojevich/B000518,Representative Rod R. Blagojevich,(1956 - ),In Congress 1997 - 2003,1040
https://www.congress.gov/member/james-blanchard/B000538,Representative James Blanchard,(1942 - ),In Congress 1975 - 1983,1059
https://www.congress.gov/member/john-blatnik/B000550,Representative John Anton Blatnik,(1911 - 1991),In Congress 1947 - 1975,151
https://www.congress.gov/member/ben-blaz/B000551,Delegate Ben G. Blaz,(1928 - 2014),In Congress 1985 - 1993,1226
https://www.congress.gov/member/thomas-bliley/B000556,Representative Tom Bliley,(1932 - ),In Congress 1981 - 2001,3098
https://www.congress.gov/member/michael-blouin/B000567,Representative Michael Blouin,(1945 - ),In Congress 1975 - 1979,467
https://www.congress.gov/member/rod-blum/B001294,Representative Rod Blum,(1955 - ),In Congress 2015 - 2019,433
https://www.congress.gov/member/earl-blumenauer/B000574,Representative Earl Blumenauer,(1948 - ),In Congress 1995 - Present |,6902
https://www.congress.gov/member/richard-blumenthal/B001277,Senator Richard  Blumenthal ,(1946 - ),In Congress 2011 - Present |,4244
https://www.congress.gov/member/lisa-blunt-rochester/B001303,Representative Lisa Blunt Rochester,(1962 - ),In Congress 2017 - Present |,999
https://www.congress.gov/member/roy-blunt/B000575,Senator Roy Blunt,(1950 - ),In Congress 1997 - Present |,3617
https://www.congress.gov/member/peter-blute/B000576,Representative Peter I. Blute,(1956 - ),In Congress 1993 - 1997,670
https://www.congress.gov/member/john-boccieri/B001263,Representative John A. Boccieri,(1969 - ),In Congress 2009 - 2011,245
https://www.congress.gov/member/sherwood-boehlert/B000586,Representative Sherwood Boehlert,(1936 - ),In Congress 1983 - 2007,3985
