hed,on_click,article_id
우리 나라 특명전권대사가 남아프리카대통령에게 신임장을 봉정,"fn_showArticle(""AR0140086"", """", ""NT03"", ""L"")",AR014008
우리 나라 외무상 팔레스티나국가 외무 및 이주민상에게 축전,"fn_showArticle(""AR0139944"", """", ""NT03"", ""L"")",AR013994
우리 나라 외무상 에티오피아 부수상 겸 외무상에게 축전,"fn_showArticle(""AR0139907"", """", ""NT03"", ""L"")",AR013990
우리 나라 외무상 앙골라 대외관계상에게 축전,"fn_showArticle(""AR0139891"", """", ""NT03"", ""L"")",AR013989
아시아에서 1 700만명이상이 신형코로나비루스에 감염,"fn_showArticle(""AR0140348"", """", ""NT06"", ""L"")",AR014034
아프리카에서 악성전염병 만연,"fn_showArticle(""AR0140346"", """", ""NT06"", ""L"")",AR014034
"세계적으로 감염자 6 479만 7 800여명,사망자 149만 8 100여명","fn_showArticle(""AR0140344"", """", ""NT06"", ""L"")",AR014034
의연 심각한 문제로 되고있는 에이즈피해,"fn_showArticle(""AR0140339"", """", ""NT06"", ""L"")",AR014033
소말리아에서 열대성폭풍피해 확대,"fn_showArticle(""AR0140337"", """", ""NT06"", ""L"")",AR014033
여러 나라에서 방역조치 강구,"fn_showArticle(""AR0140347"", """", ""NT06"", ""L"")",AR014034
유럽에서의 대류행전염병전파상황,"fn_showArticle(""AR0140345"", """", ""NT06"", ""L"")",AR014034
아메리카지역에서 신형코로나비루스감염자와 사망자 증가,"fn_showArticle(""AR0140343"", """", ""NT06"", ""L"")",AR014034
"인도네시아와 아르헨띠나에서 화산,지진","fn_showArticle(""AR0140338"", """", ""NT06"", ""L"")",AR014033
캄보쟈와 수단에서 범죄반대투쟁,"fn_showArticle(""AR0140336"", """", ""NT06"", ""L"")",AR014033
남조선당국에 경고한다--조선중앙통신사 보도,"fn_showArticle(""AR0138771"", """", ""NT17"", ""L"")",AR013877
"조선인강제련행피해자,유가족협회 대변인담화","fn_showArticle(""AR0138015"", """", ""NT17"", ""L"")",AR013801
조선로동당 중앙위원회 제7기 제6차전원회의 결정서--조선로동당 제8차대회를 소집할데 대하여,"fn_showArticle(""AR0137942"", """", ""NT17"", ""L"")",AR013794
조선일본군성노예 및 강제련행피해자문제대책위원회 대변인성명,"fn_showArticle(""AR0137825"", """", ""NT17"", ""L"")",AR013782
조선민주주의인민공화국 국무위원회 정령발표,"fn_showArticle(""AR0137794"", """", ""NT17"", ""L"")",AR013779
조선로동당 중앙위원회 제7기 제16차 정치국회의 공보,"fn_showArticle(""AR0137795"", """", ""NT17"", ""L"")",AR013779
,"fn_showArticle(""AR0137795"", """", ""NT17"", ""I"")",AR013779
조선민주주의인민공화국 외무성 대변인대답,"fn_showArticle(""AR0137273"", """", ""NT17"", ""L"")",AR013727
